passenger_count,passenger_count_dim_id
1,0
1,1
2,2
3,3
5,4
5,5
6,6
1,7
1,8
3,9
2,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
3,18
2,19
1,20
1,21
2,22
2,23
1,24
1,25
2,26
5,27
1,28
1,29
1,30
4,31
2,32
1,33
1,34
1,35
2,36
1,37
1,38
5,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
3,54
2,55
1,56
1,57
5,58
1,59
6,60
3,61
6,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
4,78
1,79
1,80
1,81
2,82
1,83
1,84
3,85
5,86
1,87
2,88
1,89
1,90
2,91
3,92
1,93
1,94
1,95
2,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
3,108
1,109
1,110
1,111
1,112
1,113
1,114
2,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
2,124
1,125
1,126
6,127
1,128
3,129
6,130
1,131
1,132
1,133
1,134
2,135
4,136
6,137
1,138
2,139
1,140
5,141
1,142
1,143
1,144
2,145
1,146
1,147
1,148
1,149
1,150
1,151
1,152
6,153
1,154
1,155
1,156
1,157
3,158
1,159
5,160
1,161
1,162
1,163
4,164
2,165
6,166
1,167
1,168
1,169
1,170
1,171
1,172
1,173
2,174
2,175
1,176
1,177
5,178
1,179
3,180
1,181
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,190
1,191
1,192
1,193
1,194
2,195
5,196
2,197
1,198
1,199
1,200
1,201
1,202
1,203
1,204
1,205
1,206
2,207
3,208
3,209
1,210
1,211
1,212
1,213
1,214
5,215
5,216
1,217
1,218
2,219
5,220
1,221
6,222
1,223
2,224
1,225
1,226
1,227
2,228
1,229
1,230
1,231
1,232
4,233
1,234
5,235
2,236
1,237
1,238
3,239
1,240
5,241
2,242
1,243
1,244
1,245
1,246
1,247
1,248
5,249
1,250
1,251
1,252
1,253
3,254
1,255
6,256
1,257
1,258
3,259
1,260
1,261
2,262
1,263
3,264
2,265
5,266
5,267
1,268
1,269
1,270
1,271
1,272
1,273
1,274
1,275
5,276
1,277
1,278
5,279
3,280
1,281
5,282
1,283
1,284
1,285
2,286
1,287
6,288
6,289
1,290
5,291
1,292
1,293
2,294
6,295
2,296
5,297
2,298
1,299
2,300
6,301
1,302
1,303
1,304
1,305
2,306
1,307
1,308
1,309
1,310
1,311
1,312
1,313
1,314
1,315
1,316
1,317
1,318
1,319
6,320
1,321
1,322
1,323
1,324
1,325
1,326
1,327
1,328
1,329
1,330
2,331
1,332
1,333
1,334
1,335
1,336
1,337
1,338
1,339
2,340
1,341
1,342
1,343
2,344
1,345
5,346
1,347
1,348
2,349
1,350
1,351
1,352
2,353
5,354
2,355
1,356
1,357
3,358
1,359
1,360
1,361
1,362
1,363
1,364
2,365
1,366
1,367
1,368
1,369
1,370
1,371
2,372
1,373
1,374
5,375
5,376
1,377
1,378
5,379
1,380
5,381
1,382
1,383
5,384
1,385
1,386
1,387
1,388
1,389
1,390
5,391
1,392
5,393
1,394
1,395
2,396
1,397
1,398
1,399
3,400
1,401
1,402
1,403
6,404
2,405
1,406
1,407
1,408
2,409
1,410
6,411
1,412
1,413
1,414
2,415
1,416
2,417
1,418
2,419
4,420
1,421
1,422
1,423
1,424
1,425
1,426
6,427
1,428
1,429
1,430
1,431
1,432
1,433
6,434
2,435
2,436
1,437
2,438
6,439
6,440
3,441
1,442
2,443
3,444
1,445
3,446
1,447
2,448
2,449
1,450
1,451
5,452
5,453
2,454
1,455
1,456
1,457
1,458
5,459
5,460
1,461
2,462
1,463
1,464
1,465
1,466
1,467
2,468
1,469
1,470
1,471
1,472
1,473
1,474
6,475
6,476
1,477
1,478
1,479
1,480
1,481
1,482
2,483
5,484
1,485
2,486
4,487
1,488
3,489
1,490
5,491
1,492
1,493
2,494
1,495
6,496
1,497
2,498
1,499
1,500
1,501
1,502
1,503
1,504
1,505
1,506
1,507
1,508
1,509
1,510
2,511
1,512
6,513
1,514
1,515
1,516
6,517
6,518
2,519
1,520
1,521
1,522
1,523
1,524
1,525
1,526
1,527
1,528
6,529
5,530
1,531
1,532
2,533
1,534
1,535
6,536
5,537
5,538
1,539
4,540
1,541
1,542
1,543
1,544
3,545
6,546
6,547
5,548
1,549
1,550
1,551
6,552
5,553
1,554
2,555
3,556
1,557
2,558
1,559
1,560
2,561
1,562
1,563
1,564
5,565
6,566
1,567
6,568
1,569
5,570
5,571
1,572
5,573
1,574
2,575
2,576
1,577
1,578
5,579
1,580
4,581
1,582
1,583
1,584
1,585
1,586
3,587
2,588
1,589
1,590
1,591
2,592
1,593
6,594
1,595
1,596
5,597
5,598
1,599
1,600
1,601
5,602
5,603
2,604
3,605
5,606
4,607
6,608
5,609
1,610
1,611
1,612
1,613
5,614
5,615
1,616
1,617
3,618
1,619
1,620
1,621
5,622
2,623
2,624
1,625
2,626
1,627
3,628
6,629
6,630
5,631
1,632
4,633
1,634
1,635
2,636
6,637
4,638
1,639
1,640
2,641
5,642
3,643
2,644
1,645
1,646
1,647
3,648
1,649
1,650
1,651
1,652
3,653
1,654
1,655
1,656
1,657
1,658
1,659
1,660
6,661
5,662
1,663
1,664
1,665
5,666
2,667
6,668
2,669
6,670
2,671
1,672
3,673
1,674
1,675
1,676
1,677
2,678
2,679
2,680
1,681
6,682
3,683
2,684
1,685
2,686
2,687
1,688
6,689
1,690
1,691
1,692
2,693
1,694
2,695
1,696
1,697
6,698
2,699
1,700
6,701
1,702
1,703
1,704
1,705
1,706
1,707
2,708
2,709
1,710
3,711
1,712
1,713
6,714
1,715
5,716
1,717
3,718
1,719
2,720
5,721
1,722
1,723
1,724
4,725
1,726
2,727
2,728
3,729
1,730
1,731
6,732
5,733
1,734
1,735
1,736
1,737
1,738
1,739
2,740
6,741
2,742
2,743
1,744
1,745
4,746
1,747
1,748
1,749
1,750
1,751
5,752
2,753
1,754
1,755
2,756
1,757
1,758
5,759
4,760
1,761
1,762
1,763
1,764
2,765
1,766
1,767
6,768
1,769
1,770
5,771
1,772
2,773
1,774
1,775
1,776
3,777
5,778
1,779
1,780
1,781
5,782
1,783
1,784
6,785
1,786
1,787
1,788
1,789
2,790
1,791
5,792
1,793
1,794
1,795
5,796
1,797
4,798
2,799
1,800
1,801
1,802
1,803
5,804
6,805
1,806
2,807
1,808
1,809
1,810
1,811
1,812
1,813
1,814
1,815
1,816
1,817
1,818
5,819
3,820
1,821
1,822
2,823
1,824
6,825
1,826
1,827
1,828
1,829
1,830
1,831
3,832
5,833
1,834
1,835
1,836
1,837
1,838
2,839
1,840
2,841
1,842
5,843
1,844
1,845
1,846
4,847
1,848
1,849
1,850
1,851
1,852
1,853
3,854
2,855
1,856
1,857
5,858
1,859
1,860
2,861
2,862
1,863
1,864
3,865
1,866
1,867
2,868
1,869
1,870
1,871
5,872
5,873
1,874
1,875
5,876
6,877
5,878
2,879
1,880
1,881
3,882
1,883
1,884
1,885
1,886
1,887
1,888
1,889
1,890
6,891
1,892
1,893
5,894
5,895
1,896
2,897
1,898
1,899
3,900
1,901
1,902
1,903
1,904
1,905
1,906
1,907
5,908
1,909
1,910
1,911
5,912
6,913
1,914
1,915
1,916
1,917
1,918
2,919
2,920
1,921
2,922
1,923
1,924
2,925
5,926
1,927
3,928
1,929
1,930
1,931
3,932
5,933
3,934
2,935
1,936
1,937
1,938
6,939
1,940
1,941
6,942
1,943
1,944
5,945
1,946
1,947
1,948
1,949
1,950
5,951
1,952
2,953
3,954
1,955
1,956
2,957
5,958
1,959
6,960
1,961
1,962
1,963
6,964
1,965
1,966
6,967
3,968
6,969
1,970
3,971
6,972
1,973
5,974
3,975
1,976
2,977
1,978
6,979
6,980
1,981
3,982
3,983
1,984
5,985
6,986
1,987
2,988
2,989
1,990
6,991
6,992
6,993
2,994
1,995
1,996
5,997
1,998
2,999
5,1000
1,1001
1,1002
1,1003
3,1004
2,1005
1,1006
1,1007
1,1008
1,1009
2,1010
1,1011
4,1012
1,1013
1,1014
1,1015
1,1016
1,1017
3,1018
1,1019
3,1020
1,1021
1,1022
5,1023
5,1024
1,1025
1,1026
2,1027
1,1028
2,1029
1,1030
4,1031
2,1032
1,1033
2,1034
1,1035
5,1036
1,1037
1,1038
1,1039
1,1040
2,1041
1,1042
1,1043
2,1044
1,1045
5,1046
1,1047
1,1048
5,1049
1,1050
1,1051
6,1052
1,1053
3,1054
1,1055
2,1056
2,1057
1,1058
1,1059
1,1060
1,1061
1,1062
1,1063
1,1064
2,1065
6,1066
1,1067
3,1068
1,1069
1,1070
1,1071
5,1072
1,1073
1,1074
1,1075
1,1076
5,1077
5,1078
1,1079
1,1080
1,1081
1,1082
1,1083
6,1084
1,1085
2,1086
2,1087
1,1088
1,1089
1,1090
1,1091
1,1092
1,1093
1,1094
1,1095
1,1096
2,1097
1,1098
5,1099
2,1100
1,1101
2,1102
1,1103
1,1104
1,1105
1,1106
5,1107
1,1108
1,1109
5,1110
1,1111
1,1112
1,1113
1,1114
1,1115
1,1116
1,1117
1,1118
1,1119
4,1120
1,1121
6,1122
2,1123
1,1124
1,1125
1,1126
1,1127
1,1128
5,1129
5,1130
1,1131
1,1132
5,1133
6,1134
1,1135
5,1136
1,1137
2,1138
1,1139
1,1140
1,1141
1,1142
2,1143
2,1144
5,1145
1,1146
1,1147
1,1148
1,1149
1,1150
1,1151
2,1152
1,1153
6,1154
1,1155
1,1156
5,1157
1,1158
1,1159
6,1160
4,1161
1,1162
2,1163
1,1164
1,1165
1,1166
2,1167
1,1168
1,1169
1,1170
1,1171
2,1172
1,1173
5,1174
5,1175
1,1176
2,1177
1,1178
1,1179
4,1180
1,1181
1,1182
1,1183
1,1184
1,1185
1,1186
1,1187
1,1188
1,1189
5,1190
6,1191
1,1192
3,1193
6,1194
1,1195
1,1196
6,1197
6,1198
1,1199
1,1200
1,1201
1,1202
1,1203
1,1204
5,1205
1,1206
1,1207
1,1208
2,1209
1,1210
2,1211
5,1212
6,1213
2,1214
4,1215
1,1216
4,1217
3,1218
1,1219
2,1220
1,1221
2,1222
1,1223
1,1224
1,1225
2,1226
1,1227
1,1228
2,1229
5,1230
1,1231
5,1232
6,1233
1,1234
1,1235
2,1236
1,1237
2,1238
1,1239
6,1240
1,1241
1,1242
1,1243
2,1244
1,1245
2,1246
1,1247
1,1248
2,1249
1,1250
1,1251
1,1252
2,1253
1,1254
1,1255
1,1256
1,1257
1,1258
1,1259
5,1260
1,1261
1,1262
5,1263
1,1264
1,1265
1,1266
6,1267
2,1268
1,1269
5,1270
1,1271
4,1272
1,1273
1,1274
2,1275
6,1276
5,1277
1,1278
2,1279
1,1280
1,1281
4,1282
1,1283
1,1284
1,1285
1,1286
1,1287
1,1288
1,1289
1,1290
1,1291
4,1292
1,1293
1,1294
1,1295
1,1296
1,1297
1,1298
1,1299
1,1300
3,1301
1,1302
2,1303
2,1304
1,1305
1,1306
1,1307
6,1308
1,1309
1,1310
5,1311
2,1312
1,1313
1,1314
1,1315
3,1316
1,1317
1,1318
6,1319
1,1320
3,1321
1,1322
1,1323
1,1324
5,1325
1,1326
2,1327
2,1328
1,1329
5,1330
1,1331
1,1332
1,1333
1,1334
1,1335
1,1336
1,1337
2,1338
1,1339
1,1340
2,1341
1,1342
1,1343
2,1344
1,1345
1,1346
1,1347
2,1348
1,1349
1,1350
5,1351
6,1352
1,1353
2,1354
1,1355
1,1356
6,1357
1,1358
1,1359
1,1360
1,1361
1,1362
1,1363
1,1364
1,1365
2,1366
1,1367
2,1368
4,1369
1,1370
1,1371
1,1372
6,1373
2,1374
1,1375
3,1376
1,1377
1,1378
1,1379
1,1380
5,1381
3,1382
1,1383
5,1384
6,1385
1,1386
1,1387
5,1388
1,1389
5,1390
1,1391
1,1392
1,1393
2,1394
1,1395
1,1396
1,1397
1,1398
2,1399
1,1400
1,1401
1,1402
1,1403
1,1404
1,1405
5,1406
2,1407
1,1408
1,1409
1,1410
1,1411
1,1412
1,1413
2,1414
2,1415
2,1416
1,1417
1,1418
1,1419
2,1420
1,1421
1,1422
5,1423
1,1424
1,1425
1,1426
2,1427
6,1428
1,1429
1,1430
2,1431
1,1432
1,1433
1,1434
1,1435
5,1436
5,1437
1,1438
1,1439
1,1440
1,1441
2,1442
1,1443
3,1444
1,1445
1,1446
2,1447
1,1448
5,1449
1,1450
1,1451
1,1452
5,1453
6,1454
5,1455
1,1456
5,1457
1,1458
1,1459
1,1460
1,1461
5,1462
1,1463
1,1464
2,1465
1,1466
1,1467
1,1468
1,1469
2,1470
5,1471
2,1472
1,1473
2,1474
1,1475
1,1476
5,1477
1,1478
2,1479
5,1480
1,1481
1,1482
6,1483
3,1484
1,1485
1,1486
1,1487
1,1488
1,1489
1,1490
1,1491
1,1492
1,1493
5,1494
1,1495
1,1496
3,1497
1,1498
2,1499
1,1500
1,1501
1,1502
1,1503
5,1504
4,1505
1,1506
1,1507
4,1508
1,1509
1,1510
1,1511
1,1512
1,1513
4,1514
1,1515
1,1516
1,1517
1,1518
1,1519
5,1520
1,1521
1,1522
1,1523
1,1524
4,1525
1,1526
3,1527
1,1528
2,1529
2,1530
1,1531
5,1532
1,1533
5,1534
1,1535
1,1536
1,1537
5,1538
1,1539
1,1540
2,1541
1,1542
2,1543
4,1544
2,1545
1,1546
1,1547
1,1548
1,1549
1,1550
1,1551
2,1552
1,1553
6,1554
1,1555
1,1556
3,1557
1,1558
1,1559
5,1560
1,1561
1,1562
1,1563
1,1564
1,1565
1,1566
1,1567
1,1568
2,1569
2,1570
1,1571
1,1572
1,1573
1,1574
1,1575
2,1576
1,1577
1,1578
6,1579
1,1580
6,1581
3,1582
5,1583
1,1584
1,1585
1,1586
1,1587
1,1588
6,1589
5,1590
1,1591
1,1592
5,1593
2,1594
1,1595
1,1596
1,1597
1,1598
1,1599
1,1600
1,1601
2,1602
1,1603
1,1604
2,1605
1,1606
1,1607
1,1608
6,1609
1,1610
1,1611
1,1612
1,1613
1,1614
6,1615
2,1616
5,1617
1,1618
2,1619
1,1620
6,1621
1,1622
1,1623
4,1624
1,1625
1,1626
1,1627
1,1628
1,1629
2,1630
6,1631
1,1632
1,1633
1,1634
1,1635
1,1636
1,1637
2,1638
5,1639
1,1640
1,1641
5,1642
1,1643
1,1644
2,1645
1,1646
1,1647
1,1648
1,1649
2,1650
1,1651
1,1652
6,1653
1,1654
1,1655
2,1656
1,1657
5,1658
1,1659
1,1660
2,1661
1,1662
2,1663
5,1664
5,1665
1,1666
1,1667
1,1668
1,1669
5,1670
1,1671
1,1672
5,1673
1,1674
1,1675
5,1676
1,1677
2,1678
3,1679
1,1680
1,1681
2,1682
1,1683
1,1684
1,1685
5,1686
6,1687
1,1688
1,1689
1,1690
1,1691
2,1692
1,1693
1,1694
2,1695
1,1696
1,1697
1,1698
2,1699
1,1700
1,1701
1,1702
1,1703
1,1704
5,1705
3,1706
2,1707
1,1708
1,1709
1,1710
1,1711
5,1712
2,1713
1,1714
1,1715
6,1716
3,1717
1,1718
5,1719
1,1720
2,1721
5,1722
2,1723
1,1724
2,1725
1,1726
1,1727
6,1728
1,1729
2,1730
1,1731
1,1732
2,1733
5,1734
1,1735
1,1736
1,1737
1,1738
4,1739
1,1740
1,1741
6,1742
1,1743
1,1744
2,1745
2,1746
5,1747
5,1748
2,1749
1,1750
1,1751
1,1752
1,1753
3,1754
1,1755
2,1756
1,1757
1,1758
6,1759
1,1760
1,1761
1,1762
1,1763
5,1764
1,1765
3,1766
1,1767
3,1768
1,1769
1,1770
1,1771
5,1772
5,1773
2,1774
6,1775
2,1776
1,1777
6,1778
1,1779
1,1780
1,1781
1,1782
5,1783
1,1784
1,1785
1,1786
1,1787
1,1788
1,1789
1,1790
6,1791
2,1792
1,1793
6,1794
1,1795
6,1796
5,1797
1,1798
1,1799
1,1800
1,1801
5,1802
1,1803
1,1804
1,1805
2,1806
2,1807
1,1808
5,1809
2,1810
1,1811
2,1812
1,1813
2,1814
1,1815
2,1816
1,1817
2,1818
1,1819
1,1820
1,1821
2,1822
1,1823
1,1824
1,1825
6,1826
1,1827
1,1828
1,1829
1,1830
2,1831
1,1832
2,1833
4,1834
1,1835
1,1836
1,1837
6,1838
5,1839
1,1840
1,1841
1,1842
1,1843
1,1844
1,1845
1,1846
2,1847
1,1848
2,1849
1,1850
1,1851
1,1852
1,1853
1,1854
1,1855
6,1856
5,1857
2,1858
1,1859
1,1860
1,1861
1,1862
2,1863
1,1864
2,1865
5,1866
5,1867
1,1868
1,1869
1,1870
5,1871
3,1872
1,1873
5,1874
3,1875
1,1876
2,1877
2,1878
2,1879
1,1880
1,1881
2,1882
2,1883
2,1884
3,1885
6,1886
2,1887
1,1888
2,1889
1,1890
1,1891
1,1892
1,1893
1,1894
1,1895
5,1896
1,1897
4,1898
1,1899
2,1900
1,1901
1,1902
1,1903
2,1904
1,1905
1,1906
2,1907
1,1908
5,1909
2,1910
1,1911
1,1912
5,1913
6,1914
1,1915
1,1916
1,1917
1,1918
1,1919
5,1920
2,1921
1,1922
1,1923
1,1924
1,1925
1,1926
3,1927
5,1928
4,1929
6,1930
3,1931
5,1932
1,1933
2,1934
1,1935
2,1936
1,1937
3,1938
1,1939
5,1940
1,1941
3,1942
1,1943
1,1944
1,1945
1,1946
3,1947
5,1948
6,1949
2,1950
1,1951
1,1952
1,1953
1,1954
1,1955
1,1956
1,1957
5,1958
1,1959
1,1960
2,1961
1,1962
6,1963
1,1964
2,1965
5,1966
1,1967
1,1968
6,1969
1,1970
2,1971
5,1972
1,1973
5,1974
1,1975
1,1976
1,1977
1,1978
3,1979
6,1980
5,1981
2,1982
6,1983
1,1984
1,1985
1,1986
1,1987
1,1988
5,1989
1,1990
2,1991
1,1992
1,1993
1,1994
1,1995
6,1996
1,1997
1,1998
5,1999
2,2000
1,2001
1,2002
1,2003
1,2004
1,2005
5,2006
1,2007
1,2008
1,2009
1,2010
6,2011
2,2012
5,2013
5,2014
6,2015
2,2016
1,2017
2,2018
6,2019
1,2020
1,2021
1,2022
1,2023
1,2024
1,2025
1,2026
1,2027
1,2028
1,2029
1,2030
1,2031
1,2032
1,2033
1,2034
1,2035
5,2036
5,2037
1,2038
6,2039
6,2040
1,2041
1,2042
6,2043
1,2044
1,2045
2,2046
1,2047
2,2048
6,2049
2,2050
1,2051
1,2052
6,2053
1,2054
1,2055
2,2056
1,2057
1,2058
1,2059
1,2060
1,2061
1,2062
1,2063
1,2064
2,2065
1,2066
5,2067
1,2068
5,2069
6,2070
1,2071
1,2072
2,2073
1,2074
1,2075
1,2076
1,2077
1,2078
6,2079
5,2080
1,2081
1,2082
1,2083
1,2084
1,2085
5,2086
1,2087
1,2088
2,2089
1,2090
1,2091
6,2092
1,2093
1,2094
1,2095
1,2096
1,2097
5,2098
3,2099
1,2100
3,2101
1,2102
2,2103
1,2104
3,2105
1,2106
2,2107
1,2108
2,2109
2,2110
2,2111
3,2112
1,2113
4,2114
1,2115
2,2116
1,2117
1,2118
1,2119
1,2120
1,2121
1,2122
2,2123
1,2124
5,2125
5,2126
1,2127
1,2128
1,2129
5,2130
6,2131
1,2132
5,2133
1,2134
6,2135
1,2136
1,2137
6,2138
2,2139
1,2140
6,2141
1,2142
1,2143
2,2144
1,2145
6,2146
1,2147
1,2148
1,2149
2,2150
1,2151
1,2152
1,2153
2,2154
2,2155
1,2156
1,2157
1,2158
1,2159
1,2160
1,2161
1,2162
2,2163
1,2164
5,2165
1,2166
1,2167
6,2168
1,2169
1,2170
2,2171
1,2172
1,2173
2,2174
1,2175
5,2176
1,2177
1,2178
1,2179
1,2180
1,2181
6,2182
1,2183
1,2184
2,2185
2,2186
1,2187
1,2188
5,2189
6,2190
1,2191
1,2192
1,2193
1,2194
1,2195
1,2196
1,2197
1,2198
1,2199
5,2200
1,2201
1,2202
5,2203
1,2204
5,2205
5,2206
1,2207
2,2208
1,2209
1,2210
3,2211
1,2212
2,2213
1,2214
2,2215
1,2216
1,2217
1,2218
1,2219
5,2220
1,2221
1,2222
2,2223
6,2224
1,2225
6,2226
1,2227
1,2228
1,2229
1,2230
1,2231
1,2232
5,2233
5,2234
2,2235
4,2236
1,2237
1,2238
1,2239
2,2240
1,2241
1,2242
1,2243
1,2244
1,2245
1,2246
1,2247
1,2248
1,2249
1,2250
1,2251
6,2252
1,2253
1,2254
1,2255
1,2256
1,2257
1,2258
1,2259
1,2260
2,2261
1,2262
5,2263
2,2264
3,2265
1,2266
6,2267
2,2268
1,2269
1,2270
3,2271
2,2272
3,2273
3,2274
3,2275
1,2276
5,2277
2,2278
1,2279
1,2280
1,2281
1,2282
1,2283
1,2284
5,2285
1,2286
2,2287
6,2288
3,2289
1,2290
1,2291
2,2292
1,2293
1,2294
2,2295
1,2296
6,2297
4,2298
1,2299
3,2300
2,2301
1,2302
2,2303
1,2304
5,2305
1,2306
1,2307
1,2308
1,2309
1,2310
1,2311
1,2312
1,2313
1,2314
1,2315
1,2316
1,2317
1,2318
1,2319
1,2320
1,2321
1,2322
1,2323
1,2324
1,2325
1,2326
1,2327
2,2328
1,2329
1,2330
6,2331
6,2332
1,2333
2,2334
1,2335
2,2336
1,2337
1,2338
1,2339
1,2340
3,2341
6,2342
1,2343
2,2344
6,2345
5,2346
1,2347
1,2348
1,2349
1,2350
2,2351
2,2352
1,2353
1,2354
6,2355
1,2356
1,2357
1,2358
1,2359
1,2360
6,2361
2,2362
2,2363
2,2364
1,2365
1,2366
1,2367
1,2368
3,2369
1,2370
2,2371
1,2372
6,2373
1,2374
1,2375
5,2376
1,2377
2,2378
1,2379
6,2380
1,2381
1,2382
1,2383
1,2384
2,2385
1,2386
1,2387
2,2388
1,2389
1,2390
4,2391
1,2392
1,2393
6,2394
2,2395
2,2396
1,2397
5,2398
1,2399
1,2400
1,2401
1,2402
3,2403
1,2404
1,2405
1,2406
1,2407
5,2408
6,2409
1,2410
5,2411
2,2412
1,2413
1,2414
6,2415
2,2416
1,2417
2,2418
1,2419
1,2420
1,2421
1,2422
1,2423
1,2424
5,2425
1,2426
1,2427
1,2428
1,2429
6,2430
1,2431
1,2432
1,2433
1,2434
1,2435
1,2436
1,2437
1,2438
1,2439
1,2440
5,2441
1,2442
1,2443
1,2444
1,2445
5,2446
4,2447
2,2448
1,2449
1,2450
1,2451
1,2452
