payment_type,payment_type_dim_id
1,0
1,1
1,2
1,3
1,4
1,5
2,6
3,7
1,8
1,9
2,10
2,11
1,12
1,13
1,14
1,15
2,16
1,17
1,18
1,19
2,20
2,21
1,22
2,23
1,24
2,25
1,26
1,27
1,28
1,29
2,30
2,31
1,32
1,33
1,34
2,35
1,36
1,37
1,38
1,39
2,40
2,41
1,42
2,43
1,44
2,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
2,53
1,54
2,55
2,56
1,57
1,58
1,59
1,60
1,61
1,62
2,63
1,64
1,65
2,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
2,76
2,77
1,78
1,79
2,80
1,81
2,82
1,83
1,84
1,85
1,86
1,87
2,88
2,89
1,90
1,91
1,92
1,93
2,94
1,95
1,96
1,97
2,98
1,99
1,100
2,101
1,102
1,103
1,104
1,105
1,106
1,107
2,108
3,109
2,110
1,111
1,112
1,113
1,114
2,115
1,116
1,117
1,118
2,119
2,120
2,121
1,122
1,123
1,124
1,125
2,126
1,127
1,128
2,129
1,130
2,131
1,132
1,133
1,134
2,135
1,136
1,137
2,138
2,139
1,140
1,141
1,142
1,143
1,144
2,145
1,146
1,147
1,148
1,149
1,150
1,151
1,152
1,153
1,154
1,155
1,156
1,157
1,158
1,159
1,160
2,161
1,162
1,163
1,164
1,165
2,166
1,167
1,168
1,169
1,170
1,171
1,172
1,173
1,174
1,175
2,176
2,177
1,178
2,179
1,180
1,181
1,182
1,183
1,184
2,185
1,186
1,187
1,188
1,189
1,190
1,191
1,192
1,193
1,194
1,195
1,196
1,197
2,198
1,199
2,200
1,201
1,202
1,203
2,204
2,205
2,206
1,207
2,208
1,209
2,210
2,211
1,212
1,213
1,214
1,215
1,216
1,217
2,218
2,219
1,220
1,221
1,222
1,223
2,224
1,225
1,226
2,227
1,228
1,229
2,230
2,231
1,232
1,233
2,234
1,235
1,236
1,237
1,238
1,239
1,240
1,241
1,242
1,243
1,244
1,245
1,246
1,247
2,248
1,249
1,250
1,251
1,252
1,253
1,254
1,255
1,256
1,257
1,258
2,259
1,260
1,261
1,262
2,263
1,264
1,265
2,266
1,267
2,268
1,269
1,270
1,271
1,272
2,273
1,274
1,275
1,276
1,277
2,278
1,279
1,280
2,281
1,282
2,283
1,284
2,285
1,286
1,287
1,288
2,289
1,290
1,291
1,292
1,293
2,294
2,295
2,296
1,297
2,298
2,299
1,300
2,301
1,302
1,303
1,304
2,305
1,306
1,307
1,308
1,309
1,310
2,311
1,312
1,313
1,314
2,315
2,316
1,317
1,318
1,319
1,320
1,321
1,322
1,323
1,324
1,325
2,326
1,327
2,328
2,329
1,330
1,331
2,332
1,333
1,334
1,335
1,336
1,337
1,338
1,339
1,340
2,341
1,342
1,343
1,344
1,345
1,346
2,347
1,348
1,349
1,350
1,351
2,352
1,353
2,354
1,355
1,356
2,357
2,358
1,359
1,360
1,361
1,362
2,363
2,364
1,365
1,366
1,367
1,368
1,369
1,370
1,371
2,372
1,373
1,374
1,375
1,376
1,377
2,378
1,379
1,380
1,381
2,382
1,383
1,384
1,385
2,386
1,387
1,388
2,389
1,390
1,391
1,392
1,393
2,394
1,395
1,396
1,397
1,398
2,399
1,400
2,401
2,402
1,403
1,404
2,405
2,406
3,407
1,408
2,409
1,410
1,411
2,412
2,413
2,414
1,415
2,416
1,417
1,418
1,419
1,420
1,421
1,422
1,423
1,424
1,425
1,426
2,427
1,428
1,429
1,430
1,431
1,432
1,433
2,434
2,435
1,436
1,437
1,438
1,439
2,440
1,441
2,442
1,443
1,444
1,445
1,446
1,447
1,448
2,449
1,450
1,451
1,452
1,453
1,454
1,455
1,456
1,457
1,458
1,459
2,460
1,461
1,462
1,463
2,464
1,465
1,466
1,467
1,468
1,469
1,470
1,471
2,472
2,473
1,474
1,475
1,476
1,477
1,478
1,479
1,480
1,481
1,482
1,483
1,484
1,485
1,486
1,487
1,488
1,489
1,490
1,491
1,492
1,493
2,494
1,495
1,496
1,497
2,498
1,499
2,500
1,501
1,502
1,503
1,504
2,505
1,506
1,507
1,508
1,509
1,510
1,511
2,512
2,513
1,514
1,515
2,516
2,517
2,518
1,519
2,520
1,521
2,522
1,523
1,524
1,525
2,526
2,527
1,528
1,529
2,530
1,531
2,532
2,533
1,534
1,535
1,536
1,537
1,538
1,539
2,540
1,541
2,542
1,543
1,544
1,545
1,546
2,547
1,548
1,549
1,550
1,551
1,552
1,553
1,554
1,555
2,556
2,557
1,558
1,559
1,560
1,561
1,562
1,563
2,564
1,565
1,566
1,567
2,568
1,569
1,570
1,571
2,572
1,573
2,574
1,575
1,576
1,577
1,578
1,579
1,580
1,581
1,582
1,583
1,584
2,585
1,586
2,587
1,588
1,589
1,590
1,591
2,592
1,593
1,594
1,595
1,596
1,597
1,598
1,599
1,600
1,601
2,602
2,603
1,604
1,605
1,606
1,607
1,608
1,609
1,610
1,611
2,612
1,613
1,614
1,615
1,616
1,617
2,618
2,619
2,620
2,621
1,622
1,623
1,624
1,625
2,626
2,627
2,628
1,629
2,630
1,631
1,632
1,633
1,634
2,635
2,636
1,637
1,638
1,639
1,640
2,641
1,642
1,643
1,644
1,645
1,646
1,647
1,648
1,649
2,650
1,651
2,652
1,653
2,654
2,655
2,656
2,657
2,658
1,659
1,660
1,661
1,662
2,663
1,664
1,665
1,666
1,667
2,668
1,669
1,670
1,671
1,672
1,673
1,674
1,675
1,676
1,677
1,678
1,679
1,680
2,681
1,682
1,683
1,684
2,685
1,686
1,687
1,688
2,689
2,690
1,691
1,692
1,693
2,694
1,695
1,696
1,697
2,698
1,699
1,700
1,701
1,702
1,703
1,704
1,705
1,706
1,707
2,708
1,709
1,710
1,711
1,712
1,713
1,714
1,715
1,716
1,717
1,718
1,719
1,720
1,721
1,722
1,723
1,724
1,725
2,726
1,727
1,728
1,729
2,730
1,731
1,732
2,733
1,734
2,735
1,736
2,737
2,738
2,739
2,740
2,741
2,742
1,743
1,744
1,745
2,746
1,747
1,748
1,749
1,750
1,751
1,752
2,753
1,754
1,755
1,756
1,757
1,758
2,759
1,760
1,761
1,762
2,763
2,764
2,765
1,766
1,767
2,768
2,769
1,770
1,771
1,772
1,773
2,774
1,775
2,776
2,777
1,778
2,779
1,780
1,781
1,782
2,783
1,784
2,785
2,786
1,787
1,788
1,789
1,790
2,791
1,792
2,793
1,794
1,795
1,796
1,797
1,798
1,799
1,800
1,801
1,802
1,803
2,804
2,805
1,806
1,807
1,808
1,809
2,810
1,811
2,812
1,813
1,814
2,815
2,816
2,817
1,818
1,819
1,820
1,821
2,822
1,823
2,824
1,825
2,826
1,827
1,828
1,829
1,830
1,831
2,832
1,833
1,834
2,835
1,836
1,837
2,838
2,839
2,840
1,841
2,842
1,843
2,844
1,845
1,846
2,847
1,848
1,849
2,850
2,851
1,852
1,853
1,854
1,855
1,856
2,857
1,858
1,859
2,860
1,861
1,862
1,863
1,864
1,865
1,866
2,867
1,868
2,869
2,870
2,871
2,872
1,873
1,874
1,875
1,876
1,877
1,878
1,879
1,880
1,881
1,882
1,883
1,884
2,885
1,886
1,887
2,888
1,889
1,890
1,891
1,892
2,893
1,894
1,895
2,896
2,897
1,898
2,899
1,900
1,901
1,902
1,903
1,904
1,905
1,906
1,907
1,908
1,909
1,910
1,911
1,912
1,913
2,914
2,915
2,916
1,917
2,918
1,919
1,920
1,921
1,922
1,923
1,924
2,925
1,926
1,927
1,928
2,929
1,930
1,931
1,932
1,933
1,934
1,935
1,936
1,937
2,938
1,939
1,940
1,941
1,942
2,943
2,944
1,945
2,946
2,947
2,948
1,949
2,950
1,951
2,952
2,953
1,954
2,955
1,956
1,957
2,958
1,959
1,960
1,961
1,962
1,963
1,964
1,965
1,966
1,967
1,968
1,969
1,970
1,971
1,972
1,973
1,974
2,975
1,976
1,977
1,978
1,979
1,980
1,981
1,982
2,983
2,984
1,985
1,986
2,987
2,988
1,989
1,990
2,991
1,992
2,993
1,994
1,995
1,996
1,997
1,998
1,999
1,1000
1,1001
1,1002
1,1003
1,1004
1,1005
1,1006
2,1007
1,1008
2,1009
1,1010
1,1011
2,1012
2,1013
1,1014
2,1015
2,1016
1,1017
1,1018
2,1019
1,1020
2,1021
1,1022
1,1023
2,1024
2,1025
2,1026
2,1027
2,1028
1,1029
1,1030
1,1031
1,1032
1,1033
1,1034
2,1035
1,1036
1,1037
1,1038
1,1039
2,1040
1,1041
1,1042
1,1043
1,1044
1,1045
1,1046
1,1047
1,1048
1,1049
1,1050
1,1051
2,1052
1,1053
1,1054
1,1055
1,1056
2,1057
2,1058
2,1059
1,1060
2,1061
2,1062
1,1063
2,1064
2,1065
1,1066
1,1067
1,1068
2,1069
1,1070
1,1071
1,1072
1,1073
1,1074
1,1075
1,1076
1,1077
1,1078
1,1079
1,1080
1,1081
1,1082
2,1083
2,1084
1,1085
1,1086
1,1087
1,1088
1,1089
2,1090
1,1091
1,1092
2,1093
1,1094
1,1095
1,1096
1,1097
1,1098
2,1099
1,1100
1,1101
1,1102
2,1103
1,1104
1,1105
1,1106
1,1107
1,1108
1,1109
1,1110
1,1111
1,1112
1,1113
2,1114
2,1115
1,1116
2,1117
2,1118
3,1119
1,1120
1,1121
1,1122
1,1123
1,1124
1,1125
1,1126
1,1127
2,1128
1,1129
2,1130
1,1131
1,1132
1,1133
1,1134
2,1135
1,1136
1,1137
1,1138
1,1139
1,1140
2,1141
1,1142
1,1143
2,1144
1,1145
1,1146
1,1147
1,1148
2,1149
1,1150
1,1151
1,1152
1,1153
1,1154
1,1155
1,1156
1,1157
1,1158
1,1159
1,1160
2,1161
1,1162
1,1163
1,1164
2,1165
1,1166
1,1167
2,1168
2,1169
2,1170
1,1171
1,1172
1,1173
1,1174
2,1175
1,1176
1,1177
2,1178
1,1179
1,1180
2,1181
1,1182
2,1183
1,1184
1,1185
1,1186
1,1187
2,1188
1,1189
1,1190
2,1191
1,1192
1,1193
1,1194
1,1195
1,1196
1,1197
1,1198
1,1199
1,1200
1,1201
2,1202
2,1203
1,1204
1,1205
1,1206
2,1207
1,1208
1,1209
1,1210
1,1211
1,1212
1,1213
1,1214
1,1215
1,1216
1,1217
1,1218
1,1219
2,1220
1,1221
1,1222
1,1223
1,1224
1,1225
1,1226
1,1227
1,1228
1,1229
1,1230
1,1231
2,1232
2,1233
1,1234
1,1235
1,1236
1,1237
1,1238
1,1239
1,1240
2,1241
2,1242
1,1243
1,1244
1,1245
1,1246
1,1247
1,1248
1,1249
1,1250
1,1251
1,1252
2,1253
1,1254
1,1255
1,1256
2,1257
2,1258
1,1259
1,1260
1,1261
1,1262
2,1263
1,1264
1,1265
1,1266
1,1267
2,1268
1,1269
1,1270
1,1271
1,1272
1,1273
1,1274
1,1275
1,1276
1,1277
1,1278
1,1279
2,1280
2,1281
1,1282
1,1283
2,1284
1,1285
1,1286
2,1287
1,1288
2,1289
1,1290
1,1291
1,1292
1,1293
2,1294
2,1295
2,1296
2,1297
1,1298
1,1299
1,1300
1,1301
2,1302
1,1303
2,1304
2,1305
1,1306
1,1307
1,1308
2,1309
2,1310
1,1311
1,1312
1,1313
2,1314
1,1315
1,1316
1,1317
2,1318
1,1319
1,1320
1,1321
2,1322
2,1323
1,1324
1,1325
1,1326
2,1327
1,1328
1,1329
1,1330
2,1331
2,1332
2,1333
1,1334
2,1335
1,1336
1,1337
1,1338
1,1339
1,1340
2,1341
1,1342
1,1343
1,1344
1,1345
2,1346
2,1347
1,1348
1,1349
1,1350
1,1351
1,1352
1,1353
2,1354
1,1355
1,1356
2,1357
1,1358
2,1359
1,1360
2,1361
1,1362
1,1363
1,1364
1,1365
1,1366
2,1367
1,1368
1,1369
1,1370
1,1371
2,1372
2,1373
2,1374
1,1375
2,1376
1,1377
1,1378
1,1379
2,1380
1,1381
2,1382
2,1383
1,1384
1,1385
1,1386
1,1387
1,1388
2,1389
1,1390
1,1391
1,1392
1,1393
2,1394
2,1395
1,1396
2,1397
1,1398
1,1399
2,1400
2,1401
2,1402
1,1403
1,1404
1,1405
1,1406
2,1407
1,1408
2,1409
1,1410
2,1411
1,1412
1,1413
2,1414
1,1415
1,1416
1,1417
1,1418
1,1419
1,1420
2,1421
1,1422
1,1423
1,1424
2,1425
1,1426
1,1427
1,1428
1,1429
1,1430
1,1431
2,1432
1,1433
1,1434
1,1435
2,1436
1,1437
1,1438
1,1439
2,1440
1,1441
2,1442
1,1443
2,1444
2,1445
1,1446
1,1447
2,1448
1,1449
2,1450
1,1451
1,1452
2,1453
1,1454
1,1455
2,1456
2,1457
2,1458
1,1459
1,1460
1,1461
1,1462
1,1463
2,1464
1,1465
1,1466
2,1467
1,1468
1,1469
1,1470
1,1471
1,1472
1,1473
2,1474
1,1475
1,1476
2,1477
1,1478
1,1479
1,1480
1,1481
2,1482
1,1483
1,1484
2,1485
1,1486
2,1487
1,1488
1,1489
1,1490
1,1491
2,1492
1,1493
1,1494
1,1495
1,1496
1,1497
2,1498
1,1499
1,1500
1,1501
1,1502
2,1503
1,1504
1,1505
2,1506
1,1507
2,1508
1,1509
1,1510
1,1511
1,1512
2,1513
1,1514
1,1515
1,1516
1,1517
1,1518
1,1519
2,1520
1,1521
1,1522
2,1523
1,1524
1,1525
2,1526
1,1527
2,1528
1,1529
2,1530
2,1531
1,1532
2,1533
1,1534
1,1535
1,1536
2,1537
2,1538
1,1539
1,1540
1,1541
2,1542
1,1543
2,1544
1,1545
1,1546
1,1547
1,1548
1,1549
1,1550
1,1551
1,1552
1,1553
2,1554
2,1555
1,1556
1,1557
1,1558
1,1559
1,1560
2,1561
2,1562
2,1563
1,1564
2,1565
1,1566
1,1567
1,1568
1,1569
1,1570
2,1571
1,1572
1,1573
1,1574
1,1575
1,1576
2,1577
1,1578
1,1579
1,1580
1,1581
1,1582
1,1583
2,1584
2,1585
1,1586
1,1587
1,1588
1,1589
1,1590
1,1591
2,1592
1,1593
1,1594
1,1595
1,1596
2,1597
2,1598
2,1599
1,1600
2,1601
1,1602
1,1603
1,1604
1,1605
1,1606
1,1607
1,1608
1,1609
2,1610
2,1611
1,1612
1,1613
2,1614
1,1615
1,1616
2,1617
2,1618
1,1619
1,1620
1,1621
1,1622
2,1623
1,1624
2,1625
2,1626
2,1627
2,1628
1,1629
1,1630
2,1631
1,1632
1,1633
1,1634
1,1635
1,1636
2,1637
2,1638
1,1639
1,1640
1,1641
1,1642
1,1643
1,1644
1,1645
1,1646
1,1647
1,1648
2,1649
1,1650
1,1651
1,1652
2,1653
1,1654
1,1655
2,1656
2,1657
1,1658
1,1659
2,1660
2,1661
1,1662
2,1663
1,1664
1,1665
1,1666
1,1667
1,1668
1,1669
2,1670
1,1671
2,1672
1,1673
1,1674
1,1675
1,1676
1,1677
1,1678
1,1679
1,1680
1,1681
1,1682
1,1683
2,1684
2,1685
1,1686
2,1687
1,1688
2,1689
1,1690
2,1691
1,1692
2,1693
1,1694
1,1695
2,1696
1,1697
1,1698
1,1699
1,1700
1,1701
1,1702
2,1703
1,1704
1,1705
1,1706
1,1707
1,1708
1,1709
1,1710
2,1711
1,1712
1,1713
1,1714
1,1715
1,1716
1,1717
1,1718
2,1719
2,1720
1,1721
1,1722
2,1723
1,1724
2,1725
1,1726
1,1727
1,1728
1,1729
1,1730
2,1731
1,1732
1,1733
2,1734
1,1735
1,1736
1,1737
1,1738
1,1739
1,1740
1,1741
2,1742
1,1743
2,1744
1,1745
1,1746
1,1747
2,1748
2,1749
2,1750
1,1751
2,1752
1,1753
2,1754
2,1755
2,1756
1,1757
1,1758
1,1759
1,1760
2,1761
1,1762
1,1763
1,1764
1,1765
1,1766
2,1767
1,1768
1,1769
1,1770
2,1771
1,1772
1,1773
1,1774
1,1775
1,1776
2,1777
2,1778
1,1779
2,1780
1,1781
1,1782
1,1783
1,1784
1,1785
2,1786
1,1787
1,1788
1,1789
1,1790
1,1791
1,1792
1,1793
1,1794
2,1795
1,1796
1,1797
1,1798
2,1799
1,1800
1,1801
1,1802
1,1803
1,1804
1,1805
1,1806
1,1807
2,1808
1,1809
2,1810
1,1811
1,1812
1,1813
1,1814
2,1815
1,1816
2,1817
1,1818
2,1819
2,1820
1,1821
2,1822
2,1823
1,1824
1,1825
2,1826
1,1827
1,1828
2,1829
1,1830
1,1831
1,1832
1,1833
1,1834
2,1835
1,1836
2,1837
2,1838
1,1839
1,1840
1,1841
1,1842
1,1843
1,1844
1,1845
2,1846
1,1847
2,1848
1,1849
1,1850
1,1851
1,1852
1,1853
2,1854
2,1855
1,1856
1,1857
1,1858
1,1859
2,1860
1,1861
1,1862
1,1863
1,1864
1,1865
2,1866
2,1867
1,1868
1,1869
2,1870
1,1871
2,1872
1,1873
1,1874
2,1875
1,1876
1,1877
1,1878
1,1879
1,1880
1,1881
1,1882
1,1883
2,1884
1,1885
1,1886
1,1887
1,1888
1,1889
1,1890
1,1891
1,1892
1,1893
1,1894
2,1895
1,1896
2,1897
1,1898
2,1899
1,1900
2,1901
2,1902
2,1903
2,1904
1,1905
1,1906
1,1907
1,1908
1,1909
1,1910
1,1911
1,1912
2,1913
1,1914
1,1915
1,1916
1,1917
1,1918
1,1919
1,1920
1,1921
1,1922
1,1923
2,1924
1,1925
2,1926
2,1927
1,1928
2,1929
1,1930
2,1931
2,1932
1,1933
1,1934
2,1935
1,1936
1,1937
1,1938
1,1939
1,1940
1,1941
1,1942
1,1943
2,1944
2,1945
1,1946
1,1947
1,1948
1,1949
2,1950
1,1951
1,1952
1,1953
2,1954
1,1955
2,1956
1,1957
2,1958
1,1959
1,1960
2,1961
1,1962
2,1963
1,1964
1,1965
2,1966
1,1967
1,1968
1,1969
1,1970
2,1971
2,1972
1,1973
2,1974
2,1975
2,1976
2,1977
1,1978
1,1979
1,1980
2,1981
1,1982
2,1983
1,1984
1,1985
1,1986
1,1987
1,1988
1,1989
1,1990
1,1991
1,1992
1,1993
1,1994
1,1995
1,1996
1,1997
1,1998
1,1999
1,2000
2,2001
1,2002
1,2003
1,2004
1,2005
1,2006
1,2007
1,2008
1,2009
1,2010
1,2011
1,2012
2,2013
1,2014
1,2015
2,2016
1,2017
1,2018
1,2019
1,2020
2,2021
1,2022
1,2023
2,2024
2,2025
1,2026
1,2027
1,2028
1,2029
1,2030
1,2031
1,2032
1,2033
1,2034
1,2035
2,2036
1,2037
2,2038
1,2039
1,2040
1,2041
1,2042
1,2043
1,2044
2,2045
1,2046
1,2047
1,2048
1,2049
2,2050
1,2051
1,2052
1,2053
1,2054
2,2055
1,2056
1,2057
1,2058
2,2059
1,2060
1,2061
1,2062
1,2063
2,2064
2,2065
2,2066
1,2067
1,2068
2,2069
2,2070
1,2071
1,2072
1,2073
2,2074
2,2075
1,2076
2,2077
1,2078
2,2079
1,2080
1,2081
2,2082
1,2083
2,2084
1,2085
1,2086
1,2087
2,2088
2,2089
2,2090
1,2091
1,2092
1,2093
1,2094
1,2095
1,2096
1,2097
1,2098
1,2099
1,2100
2,2101
2,2102
1,2103
2,2104
1,2105
1,2106
2,2107
1,2108
1,2109
1,2110
1,2111
1,2112
1,2113
1,2114
1,2115
2,2116
1,2117
2,2118
2,2119
1,2120
2,2121
1,2122
1,2123
2,2124
1,2125
1,2126
2,2127
2,2128
1,2129
2,2130
2,2131
2,2132
2,2133
1,2134
1,2135
1,2136
1,2137
1,2138
2,2139
1,2140
2,2141
1,2142
2,2143
1,2144
1,2145
1,2146
1,2147
1,2148
1,2149
1,2150
1,2151
1,2152
1,2153
1,2154
1,2155
1,2156
1,2157
2,2158
1,2159
1,2160
2,2161
1,2162
1,2163
1,2164
2,2165
1,2166
1,2167
1,2168
1,2169
1,2170
1,2171
1,2172
1,2173
1,2174
1,2175
1,2176
2,2177
2,2178
1,2179
1,2180
1,2181
1,2182
2,2183
1,2184
1,2185
2,2186
2,2187
1,2188
1,2189
1,2190
1,2191
2,2192
1,2193
1,2194
1,2195
1,2196
1,2197
1,2198
1,2199
2,2200
1,2201
1,2202
1,2203
1,2204
1,2205
1,2206
1,2207
1,2208
1,2209
1,2210
1,2211
1,2212
1,2213
1,2214
1,2215
2,2216
1,2217
1,2218
1,2219
1,2220
1,2221
1,2222
2,2223
1,2224
1,2225
1,2226
1,2227
1,2228
1,2229
1,2230
3,2231
1,2232
1,2233
1,2234
1,2235
1,2236
1,2237
2,2238
2,2239
2,2240
2,2241
2,2242
1,2243
2,2244
1,2245
1,2246
1,2247
1,2248
1,2249
1,2250
1,2251
1,2252
1,2253
1,2254
1,2255
1,2256
1,2257
1,2258
2,2259
2,2260
2,2261
2,2262
2,2263
2,2264
1,2265
1,2266
2,2267
1,2268
1,2269
1,2270
1,2271
1,2272
1,2273
1,2274
1,2275
2,2276
1,2277
1,2278
2,2279
2,2280
1,2281
1,2282
1,2283
1,2284
2,2285
1,2286
1,2287
1,2288
1,2289
2,2290
1,2291
1,2292
2,2293
2,2294
1,2295
2,2296
1,2297
1,2298
1,2299
1,2300
1,2301
2,2302
1,2303
1,2304
1,2305
1,2306
2,2307
2,2308
2,2309
1,2310
2,2311
2,2312
1,2313
2,2314
1,2315
2,2316
1,2317
1,2318
1,2319
1,2320
2,2321
2,2322
1,2323
1,2324
2,2325
1,2326
1,2327
1,2328
2,2329
1,2330
1,2331
1,2332
1,2333
2,2334
1,2335
1,2336
2,2337
1,2338
1,2339
2,2340
1,2341
1,2342
1,2343
1,2344
1,2345
1,2346
2,2347
1,2348
2,2349
1,2350
1,2351
1,2352
1,2353
2,2354
1,2355
1,2356
2,2357
2,2358
1,2359
1,2360
1,2361
2,2362
2,2363
1,2364
1,2365
1,2366
1,2367
1,2368
1,2369
1,2370
2,2371
1,2372
1,2373
1,2374
1,2375
1,2376
1,2377
1,2378
2,2379
1,2380
2,2381
1,2382
1,2383
1,2384
1,2385
1,2386
2,2387
1,2388
1,2389
1,2390
1,2391
1,2392
2,2393
1,2394
1,2395
2,2396
2,2397
1,2398
1,2399
2,2400
1,2401
1,2402
1,2403
1,2404
2,2405
1,2406
1,2407
1,2408
1,2409
1,2410
1,2411
1,2412
1,2413
2,2414
1,2415
1,2416
1,2417
1,2418
2,2419
1,2420
1,2421
1,2422
1,2423
1,2424
1,2425
2,2426
2,2427
1,2428
1,2429
1,2430
1,2431
2,2432
1,2433
2,2434
2,2435
2,2436
2,2437
1,2438
1,2439
1,2440
2,2441
1,2442
2,2443
1,2444
1,2445
1,2446
1,2447
1,2448
1,2449
1,2450
1,2451
1,2452
