trip_distance,trip_distance_dim_id
2.5,0
2.9,1
19.98,2
10.78,3
30.43,4
5.92,5
5.72,6
6.2,7
0.7,8
7.18,9
0.54,10
1.7,11
1.1,12
2.1,13
8.54,14
2.0,15
3.2,16
1.59,17
16.81,18
0.5,19
0.6,20
9.9,21
0.8,22
0.49,23
5.31,24
3.5,25
9.14,26
2.17,27
18.03,28
1.0,29
11.53,30
4.26,31
2.66,32
1.7,33
2.4,34
1.0,35
3.7,36
1.3,37
9.2,38
0.79,39
0.95,40
6.9,41
4.26,42
3.11,43
3.8,44
2.8,45
1.21,46
1.31,47
2.7,48
5.39,49
2.82,50
2.07,51
7.7,52
5.1,53
3.34,54
2.69,55
0.71,56
1.42,57
4.28,58
1.84,59
3.95,60
3.65,61
9.46,62
0.48,63
19.35,64
11.25,65
2.2,66
4.65,67
1.8,68
10.34,69
1.1,70
6.8,71
1.4,72
6.3,73
5.52,74
0.6,75
3.4,76
9.79,77
1.04,78
10.2,79
2.54,80
1.32,81
1.51,82
1.4,83
1.3,84
1.16,85
0.89,86
7.06,87
5.57,88
0.99,89
0.6,90
2.81,91
2.45,92
2.61,93
1.0,94
0.73,95
1.92,96
3.25,97
4.83,98
2.46,99
2.8,100
0.8,101
2.85,102
4.33,103
5.06,104
0.54,105
1.1,106
9.5,107
0.55,108
1.5,109
2.4,110
1.2,111
5.4,112
1.43,113
2.99,114
0.46,115
2.91,116
3.4,117
0.9,118
1.32,119
1.0,120
4.76,121
4.51,122
1.42,123
2.3,124
0.5,125
5.66,126
1.47,127
2.8,128
18.34,129
1.74,130
20.2,131
0.9,132
3.37,133
1.2,134
18.95,135
2.5,136
3.32,137
3.9,138
0.2,139
2.81,140
7.91,141
2.9,142
10.0,143
1.07,144
9.1,145
0.5,146
0.7,147
18.9,148
0.7,149
1.47,150
0.58,151
2.59,152
5.98,153
1.1,154
0.42,155
9.55,156
0.35,157
8.97,158
3.49,159
1.53,160
3.77,161
0.9,162
0.7,163
1.65,164
2.46,165
1.96,166
1.6,167
5.14,168
2.51,169
18.3,170
3.3,171
3.2,172
0.93,173
3.22,174
2.23,175
4.44,176
11.43,177
1.0,178
1.37,179
2.38,180
0.73,181
0.79,182
1.91,183
2.31,184
0.49,185
1.07,186
1.33,187
1.42,188
4.09,189
4.14,190
6.94,191
0.92,192
1.4,193
2.36,194
1.56,195
2.3,196
2.19,197
3.87,198
1.13,199
1.19,200
1.22,201
1.5,202
1.03,203
0.85,204
4.94,205
1.15,206
1.15,207
2.77,208
2.72,209
0.41,210
1.47,211
0.75,212
1.62,213
0.88,214
